0.9277724913494431		SimpleArgument(Tuki Daily,List([17, 27)))	Relation(raised in,List([47, 53), [54, 56)))	SpatialArgument(Central Florida,List([57, 72)))	Greetings,  I am Tuki Daily, Wisconsin native, raised in Central Florida.
0.5680679595514976		SimpleArgument(I,List({12}))	Relation(am,List([14, 16)))	SimpleArgument(Tuki Daily,List([17, 27)))	Greetings,  I am Tuki Daily, Wisconsin native, raised in Central Florida.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(youth mentor,List([5, 17)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(creative director,List([5, 22)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(video editor,List([5, 17)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(producer,List([5, 13)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(event host,List([5, 15)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a model,List([5, 12)))	I am a model, event host, producer, video editor, creative director, and youth mentor.
0.4079394620917518	Context(positive vibes is,List([24, 41)))	SimpleArgument(Networking,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(my life,List([14, 21)))	Networking is my life; human interaction and positive vibes is what I live for.
0.8430204711654518		SimpleArgument(positive vibes,List([24, 38)))	Relation(is,List([39, 41)))	SimpleArgument(what I live for,List([42, 57)))	Networking is my life; human interaction and positive vibes is what I live for.
0.4079394620917518	Context(human interaction is,List([24, 44)))	SimpleArgument(Networking,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(my life,List([14, 21)))	Networking is my life; human interaction and positive vibes is what I live for.
0.8430204711654518		SimpleArgument(human interaction,List([24, 41)))	Relation(is,List([42, 44)))	SimpleArgument(what I live for,List([45, 60)))	Networking is my life; human interaction and positive vibes is what I live for.
0.619523342365688		SimpleArgument(you,List([7, 10)))	Relation(to be,List([16, 21)))	SimpleArgument(EVERYDAY,List([22, 30)))	Be who you want to be EVERYDAY, not just on the good days.
0.9030401971054747		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on Entertainment,List([32, 39), [40, 56)))	TemporalArgument(this FALL,List([57, 66)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9180804252893389		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on,List([32, 39), [40, 42)))	SimpleArgument(Entertainment,List([43, 56)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(will be launching,List([2, 19)))	SimpleArgument(a Webseries focused on Entertainment this FALL,List([20, 66)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9030401971054747		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on Arts,List([32, 39), [40, 47)))	TemporalArgument(this FALL,List([48, 57)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9030401971054747		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on,List([32, 39), [40, 42)))	SimpleArgument(Arts,List([43, 47)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(will be launching,List([2, 19)))	SimpleArgument(a Webseries focused on Arts this FALL,List([20, 57)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9030401971054747		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on Community involvement,List([32, 39), [40, 64)))	TemporalArgument(this FALL,List([65, 74)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9180804252893389		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on,List([32, 39), [40, 42)))	SimpleArgument(Community involvement,List([43, 64)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(will be launching,List([2, 19)))	SimpleArgument(a Webseries focused on Community involvement this FALL,List([20, 74)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9030401971054747		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on Self Awareness,List([32, 39), [40, 57)))	TemporalArgument(this FALL,List([58, 67)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.9180804252893389		SimpleArgument(a Webseries,List([20, 31)))	Relation(focused on,List([32, 39), [40, 42)))	SimpleArgument(Self Awareness,List([43, 57)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(will be launching,List([2, 19)))	SimpleArgument(a Webseries focused on Self Awareness this FALL,List([20, 67)))	I will be launching a Webseries focused on Self Awareness, Community involvement, Arts and Entertainment this FALL!
0.7697412098918558		SimpleArgument(Life,List([0, 4)))	Relation(is,List([21, 23)))	SimpleArgument(long enough,List([24, 35)))	Life, if well lived, is long enough.
0.9132357803109601		SimpleArgument(- Seneca,List([0, 8)))	Relation(quotes,List([9, 15)))	SimpleArgument(Roman philosopher, mid-1st century AD,List([17, 54)))	- Seneca quotes (Roman philosopher, mid-1st century AD)
