0.7254512244283612		SimpleArgument(our low-key environment,List([14, 37)))	Relation(is,List([43, 45)))	SimpleArgument(comfortable for everyone,List([46, 70)))	Come relax in our low-key environment that is comfortable for everyone.
0.8244829609356189		SimpleArgument(new plasma high definition TV's,List([6, 37)))	Relation(have been installed for your sports viewing pleasure,List([38, 42), [52, 66), [67, 99)))	TemporalArgument(recently,List([43, 51)))	Plus, new plasma high definition TV's have recently been installed for your sports viewing pleasure.
0.8292967436358654		SimpleArgument(new plasma high definition TV's,List([6, 37)))	Relation(have been installed for,List([38, 42), [52, 66), [67, 70)))	SimpleArgument(your sports viewing pleasure,List([71, 99)))	Plus, new plasma high definition TV's have recently been installed for your sports viewing pleasure.
0.9186941924198344		SimpleArgument(a traditional neighborhood bar,List([17, 47)))	Relation(equipped with,List([48, 56), [57, 61)))	SimpleArgument(friendly staff,List([62, 76)))	Corner Pocket is a traditional neighborhood bar equipped with dart boards and friendly staff.
0.9436740204769645		SimpleArgument(Corner Pocket,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a traditional neighborhood bar equipped with friendly staff,List([17, 76)))	Corner Pocket is a traditional neighborhood bar equipped with dart boards and friendly staff.
0.9186941924198344		SimpleArgument(a traditional neighborhood bar,List([17, 47)))	Relation(equipped with,List([48, 56), [57, 61)))	SimpleArgument(dart boards,List([62, 73)))	Corner Pocket is a traditional neighborhood bar equipped with dart boards and friendly staff.
0.9436740204769645		SimpleArgument(Corner Pocket,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a traditional neighborhood bar equipped with dart boards,List([17, 73)))	Corner Pocket is a traditional neighborhood bar equipped with dart boards and friendly staff.
0.45694023613443424	Context(we will be,List([53, 63)))	SimpleArgument(We,List([0, 2)))	Relation('re,List([3, 6)))	SimpleArgument(newly open for European soccer events,List([7, 44)))	We're open for all Seahawks games and newly open for European soccer events (yes, we will be here for you at 6:00 am in the morning or earlier if need be!) See our events page for scheduled listings.
0.1570803716199423		SimpleArgument(We,List([70, 72)))	Relation(will be here,List([73, 80), [81, 85)))	TemporalArgument(earlier,List([94, 101)))	We're open for all Seahawks games and newly open for European soccer events (yes, we will be here for you at 6:00 am in the morning or earlier if need be!) See our events page for scheduled listings.
0.2743125465364158		SimpleArgument(We,List([70, 72)))	Relation(See,List([117, 120)))	SimpleArgument(our events page for scheduled listings,List([121, 159)))	We're open for all Seahawks games and newly open for European soccer events (yes, we will be here for you at 6:00 am in the morning or earlier if need be!) See our events page for scheduled listings.
0.4328394458044063	Context(we will be,List([70, 80)))	SimpleArgument(We,List([0, 2)))	Relation('re open for,List([3, 6), [7, 11), [12, 15)))	TemporalArgument(all Seahawks games for European soccer events,List([16, 61)))	We're open for all Seahawks games and newly open for European soccer events (yes, we will be here for you at 6:00 am in the morning or earlier if need be!) See our events page for scheduled listings.
0.22876658274353207	Context(we will be,List([70, 80)))	SimpleArgument(We,List([0, 2)))	Relation('re,List([3, 6)))	SimpleArgument(open,List([7, 11)))	We're open for all Seahawks games and newly open for European soccer events (yes, we will be here for you at 6:00 am in the morning or earlier if need be!) See our events page for scheduled listings.
