0.6155020116081594		SimpleArgument(you,List([5, 8)))	Relation(invest in,List([9, 15), [16, 18)))	SimpleArgument(a healthier, more attractive smile,List([19, 53)))	When you invest in a healthier, more attractive smile, why leave the results to chance?
0.8739004440254604		SimpleArgument(professionals,List([36, 49)))	Relation(can trust,List([54, 63)))	SimpleArgument(you,List([50, 53)))	And confidence starts with choosing professionals you can trust.
0.8942434158739456		SimpleArgument(confidence,List([4, 14)))	Relation(starts with,List([15, 21), [22, 26)))	SimpleArgument(choosing professionals,List([27, 49)))	And confidence starts with choosing professionals you can trust.
0.944056173886228		SimpleArgument(Competence is Key Orthodontic success,List([0, 37)))	Relation(depends on,List([38, 45), [46, 48)))	SimpleArgument(the insight,List([49, 60)))	Competence is Key  Orthodontic success depends on highly specialized skills - and the insight to apply those skills properly.
0.944056173886228		SimpleArgument(Competence is Key Orthodontic success,List([0, 37)))	Relation(depends on,List([38, 45), [46, 48)))	SimpleArgument(highly specialized skills,List([49, 74)))	Competence is Key  Orthodontic success depends on highly specialized skills - and the insight to apply those skills properly.
0.931028700145368		SimpleArgument(Competence,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(Key Orthodontic success,List([14, 37)))	Competence is Key  Orthodontic success depends on highly specialized skills - and the insight to apply those skills properly.
0.39625576749130315		SimpleArgument(Inc.,List([66, 68)))	Relation('ve earned a reputation for efficiency After,List([0, 72), [73, 96), [97, 107)))	TemporalArgument(helping thousands of people improve their quality of life,List([6, 63)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.39625576749130315		SimpleArgument(Inc.,List([66, 68)))	Relation('ve earned a reputation for excellence After,List([0, 72), [73, 96), [97, 107)))	TemporalArgument(helping thousands of people improve their quality of life,List([6, 63)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.39625576749130315		SimpleArgument(Inc.,List([61, 63)))	Relation('ve earned a reputation for efficiency After,List([0, 67), [68, 91), [92, 102)))	TemporalArgument(helping thousands of people improve their appearance,List([6, 58)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.45170382506656653		SimpleArgument(Inc.,List([61, 63)))	Relation('ve earned,List([64, 74)))	SimpleArgument(a reputation for efficiency,List([75, 102)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.39625576749130315		SimpleArgument(Inc.,List([61, 63)))	Relation('ve earned a reputation for excellence After,List([0, 67), [68, 91), [92, 102)))	TemporalArgument(helping thousands of people improve their appearance,List([6, 58)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.45170382506656653		SimpleArgument(Inc.,List([61, 63)))	Relation('ve earned,List([64, 74)))	SimpleArgument(a reputation for excellence,List([75, 102)))	After helping thousands of people improve their appearance and quality of life, we've earned a reputation for excellence and efficiency.
0.432398438450211	Context(That 's,List([0, 6)))	SimpleArgument(Inc.,List([11, 13)))	Relation('re,List([13, 16)))	SimpleArgument(happy to walk you through it, every step of the way,List([17, 68)))	That's why we're happy to walk you through it, every step of the way - at a pace that's right for you.
0.3625144583732773		SimpleArgument(That,List([0, 4)))	Relation('s,List([4, 6)))	SimpleArgument(why we're happy to walk you through it, every step of the way - at a pace,List([7, 80)))	That's why we're happy to walk you through it, every step of the way - at a pace that's right for you.
0.8500627678291618		SimpleArgument(a pace,List([74, 80)))	Relation('s,List([85, 87)))	SimpleArgument(right for you,List([88, 101)))	That's why we're happy to walk you through it, every step of the way - at a pace that's right for you.
