0.9197759696552441		SimpleArgument(Sarah,List([0, 5)))	Relation(are cycling,List([6, 17)))	SimpleArgument(75 km,List([18, 23)))	Paul and Sarah are cycling 75 km as part of a charity bike ride organised by Stowmarket Lions Club.
0.9314904193639496		SimpleArgument(a charity bike ride,List([34, 53)))	Relation(organised by,List([54, 63), [64, 66)))	SimpleArgument(Stowmarket Lions Club,List([67, 88)))	Paul and Sarah are cycling 75 km as part of a charity bike ride organised by Stowmarket Lions Club.
0.9197759696552441		SimpleArgument(Paul,List([0, 4)))	Relation(are cycling,List([5, 16)))	SimpleArgument(75 km,List([17, 22)))	Paul and Sarah are cycling 75 km as part of a charity bike ride organised by Stowmarket Lions Club.
0.44251022175651566	Context(We have chosen,List([0, 14)))	SimpleArgument(Paul and Sarah,List([0, 2)))	Relation(have chosen to raise money for,List([3, 14), [15, 23), [24, 29), [30, 33)))	SimpleArgument(the British Heart Foundation,List([34, 62)))	We have chosen to raise money for the British Heart Foundation.
0.39746064682094406	Context(We have chosen,List([0, 14)))	SimpleArgument(Paul and Sarah,List([0, 2)))	Relation(have chosen to raise,List([3, 14), [15, 23)))	SimpleArgument(money,List([24, 29)))	We have chosen to raise money for the British Heart Foundation.
0.44251022175651566		SimpleArgument(Paul and Sarah,List([0, 2)))	Relation(have chosen to,List([3, 14), [15, 17)))	SimpleArgument(raise money for the British Heart Foundation,List([18, 62)))	We have chosen to raise money for the British Heart Foundation.
0.6155020116081594		SimpleArgument(you,List([28, 31)))	Relation(make to,List([32, 36), [37, 39)))	SimpleArgument(this great cause,List([40, 56)))	We appreciate any donations you make to this great cause.
0.30899953469486874		SimpleArgument(Paul and Sarah,List([0, 2)))	Relation(appreciate,List([3, 13)))	SimpleArgument(any donations you make to this great cause,List([14, 56)))	We appreciate any donations you make to this great cause.
0.7198391123600844		SimpleArgument(the BHF,List([11, 18)))	Relation(is,List([111, 113)))	SimpleArgument(totally secure,List([114, 128)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.9352882081013527		SimpleArgument(Every year the BHF save thousands of lives thanks to innovative health initiatives,List([0, 82)))	Relation(is,List([111, 113)))	SimpleArgument(fast,List([114, 118)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.9352882081013527		SimpleArgument(Every year the BHF save thousands of lives thanks to innovative health initiatives,List([0, 82)))	Relation(is,List([111, 113)))	SimpleArgument(simple,List([114, 120)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.7970388494717481		SimpleArgument(Every year the BHF save thousands of lives thanks to their ground - breaking research,List([0, 85)))	Relation(is,List([86, 88)))	SimpleArgument(totally secure,List([89, 103)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.7970388494717481		SimpleArgument(Every year the BHF save thousands of lives thanks to their ground - breaking research,List([0, 85)))	Relation(is,List([86, 88)))	SimpleArgument(fast,List([89, 93)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.7970388494717481		SimpleArgument(Every year the BHF save thousands of lives thanks to their ground - breaking research,List([0, 85)))	Relation(is,List([86, 88)))	SimpleArgument(simple,List([89, 95)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.9063304157055639		SimpleArgument(the BHF,List([11, 18)))	Relation(save thousands of lives,List([19, 23), [24, 42)))	TemporalArgument(Every year,List([0, 10)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
0.8666492098582788		SimpleArgument(the BHF,List([11, 18)))	Relation(save,List([19, 23)))	SimpleArgument(thousands of lives,List([24, 42)))	Every year the BHF save thousands of lives thanks to their ground-breaking research and innovative health initiatives Donating through JustGiving is simple, fast and totally secure.
