0.4667063855863067		SimpleArgument(I,List({49}))	Relation(knew,List([51, 55)))	SimpleArgument(what graphic design was,List([56, 79)))	I've been practicing graphic design since before I knew what graphic design was.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation('ve been practicing graphic design since,List([1, 20), [21, 35), [36, 41)))	TemporalArgument(before I knew what graphic design was,List([42, 79)))	I've been practicing graphic design since before I knew what graphic design was.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation('ve been practicing,List([1, 20)))	SimpleArgument(graphic design,List([21, 35)))	I've been practicing graphic design since before I knew what graphic design was.
0.8841701665203853		SimpleArgument(the bands,List([41, 50)))	Relation(played in,List([53, 62)))	SimpleArgument(I,List({51}))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3880890333449538	Context(I spent,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(spent the bulk of my teenage years converting punk rock logos into,List([2, 7), [8, 11), [12, 22), [23, 30)))	SimpleArgument(patches,List([69, 76)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(spent the bulk of my teenage years,List([2, 7), [8, 36)))	SimpleArgument(converting punk rock logos into patches,List([37, 76)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3880890333449538	Context(I spent,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(spent the bulk of my teenage years converting punk rock logos into,List([2, 7), [8, 11), [12, 22), [23, 30)))	SimpleArgument(stencils,List([69, 77)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3880890333449538	Context(I spent,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(spent the bulk of my teenage years converting,List([2, 7), [8, 11)))	SimpleArgument(punk rock logos,List([48, 63)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(spent the bulk of my teenage years,List([2, 7), [8, 36)))	SimpleArgument(converting punk rock logos into stencils,List([37, 77)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.3135276058215937		SimpleArgument(I,List({0}))	Relation(spent,List([2, 7)))	SimpleArgument(the bulk of my teenage years,List([8, 36)))	I spent the bulk of my teenage years converting punk rock logos into stencils and patches, insisted on making all the posters and packaging for the bands I played in, and ran the school darkroom.
0.25239008486941794	Context(It was n't,List([0, 10)))	SimpleArgument(I,List({43}))	Relation(realized that there was actually a name for all that stuff,List([56, 64), [65, 114)))	TemporalArgument(eventually,List([45, 55)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.0960849259974882	Context(It was n't,List([0, 10)))	SimpleArgument(I,List({43}))	Relation(realized that,List([56, 64), [65, 69)))	SimpleArgument(there was actually a name for all that stuff,List([70, 114)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.848739907663566	Context(I liked,List([115, 122)))	SimpleArgument(all that stuff,List([100, 114)))	Relation(to do,List([123, 128)))	SimpleArgument(I,List({115}))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.1886694268496255		SimpleArgument(I,List({115}))	Relation(liked to,List([117, 122), [123, 125)))	SimpleArgument(do,List([126, 128)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.2560951955542683		SimpleArgument(It,List([0, 2)))	Relation(was n't until,List([3, 10), [11, 16)))	SimpleArgument(I started university,List([17, 37)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.8588213959830759		SimpleArgument(the work,List([53, 61)))	Relation(posted in,List([62, 68), [69, 71)))	SimpleArgument(the Design department on my way to class,List([72, 112)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
