0.43045737107466536	Context(You might say,List([0, 13)))	SimpleArgument(this,List([14, 18)))	Relation(is,List([19, 21)))	SimpleArgument(the home of Canadian,List([22, 42)))	You might say this is the home of Canadian fried chicken.
0.5972483701400537		SimpleArgument(You,List([0, 3)))	Relation(might say,List([4, 13)))	SimpleArgument(this is the home of Canadian,List([14, 42)))	You might say this is the home of Canadian fried chicken.
0.9267899601589662		SimpleArgument(a publicly traded income trust,List([22, 52)))	Relation(controls,List([58, 66)))	SimpleArgument(60% of Priszm Limited Partnership,List([67, 100)))	Priszm Income Fund is a publicly traded income trust that controls 60% of Priszm Limited Partnership, the biggest franchisee of KFC restaurants in Canada with about 400 of the fast-food chicken joints throughout the country.
0.9286117109198694		SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(is,List([19, 21)))	SimpleArgument(a publicly traded income trust that controls 60% of Priszm Limited Partnership, the biggest franchisee of KFC restaurants in Canada with about 400 of the fast-food chicken joints throughout the country,List([22, 223)))	Priszm Income Fund is a publicly traded income trust that controls 60% of Priszm Limited Partnership, the biggest franchisee of KFC restaurants in Canada with about 400 of the fast-food chicken joints throughout the country.
0.9267899601589662		SimpleArgument(more than 100 multi-branded restaurants,List([21, 60)))	Relation(offer food from,List([66, 71), [72, 76), [77, 81)))	SpatialArgument(more other YUM,List([82, 96)))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.7785553162070028		SimpleArgument(Priszm Income Fund,List([0, 6)))	Relation(operates,List([12, 20)))	SimpleArgument(more than 100 multi-branded restaurants that offer food from more other YUM,List([21, 96)))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.7785553162070028		SimpleArgument(Priszm Income Fund,List([0, 6)))	Relation(operates,List([12, 20)))	SimpleArgument(more than 100 multi-branded restaurants that offer food from two other YUM ! Brands concepts , including Pizza Hut,List([21, 135)))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.9990000128746033		SimpleArgument(Priszm Income Fund,List([0, 0)))	Relation(operates,List([0, 0)))	SimpleArgument(more than 100 multi - branded restaurants,List(null))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.913197594301744		SimpleArgument(more than 100 multi-branded restaurants,List([21, 60)))	Relation(offer,List([66, 71)))	SimpleArgument(food,List([72, 76)))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.7785553162070028		SimpleArgument(Priszm Income Fund,List([0, 6)))	Relation(operates,List([12, 20)))	SimpleArgument(more than 100 multi-branded restaurants that offer food from two other YUM ! Brands concepts , including Taco Bell,List([21, 135)))	Priszm also operates more than 100 multi-branded restaurants that offer food from two or more other YUM! Brands concepts, including Taco Bell and Pizza Hut.
0.9436221120476838		SimpleArgument(Chairman John Bitove,List([74, 94)))	Relation(controls,List([95, 103)))	SimpleArgument(the remainder of Priszm LP,List([104, 130)))	Priszm Income Fund generates revenue through royalties paid by Priszm LP. Chairman John Bitove controls the remainder of Priszm LP through affiliated entities.
0.9105129651916236		SimpleArgument(royalties,List([45, 54)))	Relation(paid by,List([55, 59), [60, 62)))	SimpleArgument(Priszm LP,List([63, 72)))	Priszm Income Fund generates revenue through royalties paid by Priszm LP. Chairman John Bitove controls the remainder of Priszm LP through affiliated entities.
0.9329286852051247		SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(generates,List([19, 28)))	SimpleArgument(revenue,List([29, 36)))	Priszm Income Fund generates revenue through royalties paid by Priszm LP. Chairman John Bitove controls the remainder of Priszm LP through affiliated entities.
0.7914452971189485	Context(Priszm Income Fund filed to facilitate,List([0, 70)))	SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(filed for creditor protection to facilitate selling,List([19, 24), [25, 37), [38, 48)))	SimpleArgument(its fast food restaurants,List([79, 104)))	Priszm Income Fund filed for creditor protection in 2011 to facilitate selling its fast food restaurants.
0.7914452971189485	Context(Priszm Income Fund filed,List([0, 24)))	SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(filed for creditor protection to facilitate,List([19, 24), [25, 37)))	SimpleArgument(selling its fast food restaurants,List([71, 104)))	Priszm Income Fund filed for creditor protection in 2011 to facilitate selling its fast food restaurants.
0.7914452971189485		SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(filed for creditor protection to,List([19, 24), [25, 48), [57, 59)))	SimpleArgument(facilitate selling its fast food restaurants,List([60, 104)))	Priszm Income Fund filed for creditor protection in 2011 to facilitate selling its fast food restaurants.
0.7905737138983719		SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(filed for creditor protection in,List([19, 24), [25, 48), [49, 51)))	TemporalArgument(2011,List([52, 56)))	Priszm Income Fund filed for creditor protection in 2011 to facilitate selling its fast food restaurants.
0.9145897269608269		SimpleArgument(Priszm Income Fund,List([0, 18)))	Relation(filed for,List([19, 24), [25, 28)))	SimpleArgument(creditor protection,List([29, 48)))	Priszm Income Fund filed for creditor protection in 2011 to facilitate selling its fast food restaurants.
