0.8306090960787457		SimpleArgument(Residential Home Mortgages,List([0, 26)))	Relation(Established in,List([27, 38), [39, 41)))	TemporalArgument(2004,List([42, 46)))	Residential Home Mortgages Established in 2004.
0.8942434158739456		SimpleArgument(people,List([82, 88)))	Relation(needing,List([89, 96)))	SimpleArgument(home loans,List([97, 107)))	Contempo Lending was established by John Evans to provide good honest services to people needing home loans.
0.8918329165024274		SimpleArgument(Contempo Lending,List([0, 16)))	Relation(was established to,List([17, 32), [47, 49)))	SimpleArgument(provide good honest services to people,List([50, 88)))	Contempo Lending was established by John Evans to provide good honest services to people needing home loans.
0.9382554258342916		SimpleArgument(Contempo Lending,List([0, 16)))	Relation(was established by,List([17, 32), [33, 35)))	SimpleArgument(John Evans,List([36, 46)))	Contempo Lending was established by John Evans to provide good honest services to people needing home loans.
0.8528181305510196		SimpleArgument(John Evans,List([0, 10)))	Relation(to follow,List([41, 50)))	SimpleArgument(his dream of being a home owner,List([51, 82)))	John Evans moved to Palm Springs in 1997 to follow his dream of being a home owner.
0.8173640661027887		SimpleArgument(John Evans,List([0, 10)))	Relation(moved to Palm Springs to,List([11, 16), [17, 32), [41, 43)))	SimpleArgument(follow his dream of being a home owner,List([44, 82)))	John Evans moved to Palm Springs in 1997 to follow his dream of being a home owner.
0.816575697747956		SimpleArgument(John Evans,List([0, 10)))	Relation(moved to Palm Springs in,List([11, 16), [17, 32), [33, 35)))	TemporalArgument(1997,List([36, 40)))	John Evans moved to Palm Springs in 1997 to follow his dream of being a home owner.
0.9382554258342916		SimpleArgument(John Evans,List([0, 10)))	Relation(moved to,List([11, 16), [17, 19)))	SimpleArgument(Palm Springs,List([20, 32)))	John Evans moved to Palm Springs in 1997 to follow his dream of being a home owner.
0.3929209860966329		SimpleArgument(John Evans,List([33, 35)))	Relation(moved to,List([36, 41), [75, 77)))	SimpleArgument(Los Angeles,List([78, 89)))	Although he was born in Kentucky he moved at the age of 14 with his family to Los Angeles.
0.44469037867649003		SimpleArgument(John Evans,List([33, 35)))	Relation(moved to Los Angeles at,List([36, 41), [42, 81), [82, 89)))	TemporalArgument(the age of 14,List([45, 58)))	Although he was born in Kentucky he moved at the age of 14 with his family to Los Angeles.
0.4978219019954182		SimpleArgument(John Evans,List([9, 11)))	Relation(was born in,List([12, 20), [21, 23)))	SpatialArgument(Kentucky,List([24, 32)))	Although he was born in Kentucky he moved at the age of 14 with his family to Los Angeles.
0.4328394458044063	Context(he continued the real estate prices were,List([19, 83)))	SimpleArgument(John Evans,List([19, 21)))	Relation(continued to enjoy,List([22, 31), [32, 40)))	SimpleArgument(Los Angeles,List([41, 45)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.5283282283527726	Context(the real estate prices were,List([56, 83)))	SimpleArgument(John Evans,List([19, 21)))	Relation(continued to enjoy L.A. As,List([0, 2), [22, 40), [41, 45)))	TemporalArgument(John grew older,List([3, 18)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.4328394458044063	Context(the real estate prices were,List([56, 83)))	SimpleArgument(John Evans,List([19, 21)))	Relation(continued to,List([22, 31), [32, 34)))	SimpleArgument(enjoy L.A.,List([35, 45)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.5283282283527726	Context(the real estate prices were,List([50, 77)))	SimpleArgument(John Evans,List([19, 21)))	Relation(continued to love As,List([0, 2), [22, 34), [35, 39)))	TemporalArgument(John grew older,List([3, 18)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.18272787056513734	Context(the real estate prices were,List([50, 77)))	SimpleArgument(John Evans,List([19, 21)))	Relation(continued to,List([22, 31), [32, 34)))	SimpleArgument(love,List([35, 39)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.8503358186239375		SimpleArgument(the real estate prices,List([50, 72)))	Relation(were out of his reach,List([73, 77), [78, 94)))	SimpleArgument(so he eventually bought a home in Palm Springs,List([95, 141)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.8252256153497312		SimpleArgument(the real estate prices,List([50, 72)))	Relation(were out,List([73, 77), [78, 81)))	SimpleArgument(of his reach,List([82, 94)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.7340134500409752		SimpleArgument(John,List([3, 7)))	Relation(grew,List([8, 12)))	SimpleArgument(older,List([13, 18)))	As John grew older he continued to love and enjoy L.A., however the real estate prices were out of his reach so he eventually bought a home in Palm Springs.
0.5520449397565844	Context(he quickly found,List([56, 72)))	SimpleArgument(John Evans,List([73, 80)))	Relation(not wanting to,List([81, 92), [93, 95)))	SimpleArgument(return to the 'big city,List([96, 119)))	The initial plan was to be a part time resident however he quickly found himself not wanting to return to the 'big city'.
