0.9374058759955192		SimpleArgument(a carbonated fruit juice drink,List([8, 38)))	Relation(sold in,List([39, 43), [44, 46)))	SpatialArgument(the UK,List([47, 53)))	SUSO is a carbonated fruit juice drink manufactured and sold in the UK.
0.9481947648689547		SimpleArgument(SUSO,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(a carbonated fruit juice drink sold in the UK,List([8, 53)))	SUSO is a carbonated fruit juice drink manufactured and sold in the UK.
0.7852615174453589		SimpleArgument(a carbonated fruit juice drink,List([8, 38)))	Relation(manufactured,List([39, 51)))		SUSO is a carbonated fruit juice drink manufactured and sold in the UK.
0.9383119524695255		SimpleArgument(SUSO,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(a carbonated fruit juice drink manufactured,List([8, 51)))	SUSO is a carbonated fruit juice drink manufactured and sold in the UK.
0.38089450366724514		SimpleArgument(Jamie Farrell,List([218, 231)))	Relation([is] former Sales Director [of],List([203, 217)))	SimpleArgument(L'Oreal UK,List([192, 202)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.38089450366724514		SimpleArgument(Relentless Sean Uprichard,List([140, 165)))	Relation([is] former CEO at,List([168, 181)))	SimpleArgument(PJ former L'Oreal UK Sales Director Jamie Farrell,List([182, 231)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.38089450366724514		SimpleArgument(Relentless Sean Uprichard,List([140, 165)))	Relation([is] former CEO at,List([168, 181)))	SimpleArgument(PJ Smoothies Andrew King,List([182, 206)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.9180804252893389		SimpleArgument(a team,List([54, 60)))	Relation(comprising,List([61, 71)))	SimpleArgument(former Red Bull managing director Harry Drnec,List([72, 117)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.9401624716630546		SimpleArgument(London - based Suso Drinks Ltd,List([14, 44)))	Relation(run by,List([47, 50), [51, 53)))	SimpleArgument(a team,List([54, 60)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(is made by,List([3, 10), [11, 13)))	SimpleArgument(London - based Suso Drinks Ltd,List([14, 44)))	It is made by London-based Suso Drinks Ltd, run by a team comprising former Red Bull managing director Harry Drnec, former cofounder and General Manager of Relentless Sean Uprichard, former CEO at PJ Smoothies Andrew King, and former L'Oreal UK Sales Director Jamie Farrell.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Superdrug,List([87, 89), [100, 111), [112, 156)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Superdrug,List([87, 89), [100, 111), [112, 156)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Superdrug,List([115, 156)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Waitrose,List([87, 89), [100, 111), [112, 155)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Waitrose,List([87, 89), [100, 111), [112, 155)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
