0.7487987465728897		SimpleArgument(Adults,List([26, 32)))	Relation(Established in,List([33, 44), [45, 47)))	TemporalArgument(2008,List([48, 52)))	Orthodontic treatment for Children and Adults Established in 2008.
0.7487987465728897		SimpleArgument(Children,List([26, 34)))	Relation(Established in,List([35, 46), [47, 49)))	TemporalArgument(2008,List([50, 54)))	Orthodontic treatment for Children and Adults Established in 2008.
0.9212499880074402	Context(Dr. Finelli decided,List([60, 79)))	SimpleArgument(Dr. Finelli,List([60, 71)))	Relation(decided to start,List([72, 79), [80, 88)))	SimpleArgument(a practice on the seacoast of NH,List([89, 121)))	After almost 10 years of private practice in Massachusetts, Dr. Finelli decided to start a practice on the seacoast of NH.
0.9449641892922798		SimpleArgument(Dr. Finelli,List([60, 71)))	Relation(decided to start a practice on the seacoast of NH After,List([0, 5), [72, 118), [119, 121)))	TemporalArgument(almost 10 years of private practice in Massachusetts,List([6, 58)))	After almost 10 years of private practice in Massachusetts, Dr. Finelli decided to start a practice on the seacoast of NH.
0.9212499880074402		SimpleArgument(Dr. Finelli,List([60, 71)))	Relation(decided to,List([72, 79), [80, 82)))	SimpleArgument(start a practice on the seacoast of NH,List([83, 121)))	After almost 10 years of private practice in Massachusetts, Dr. Finelli decided to start a practice on the seacoast of NH.
0.5042397497049353	Context(He set out,List([0, 10)))	SimpleArgument(He,List([0, 2)))	Relation(set out to create,List([3, 10), [11, 20)))	SimpleArgument(a warm, comfortable office where orthodontic treatment is beyond expectations,List([21, 98)))	He set out to create a warm, comfortable office where orthodontic treatment is beyond expectations.
0.3880890333449538		SimpleArgument(He,List([0, 2)))	Relation(set out to,List([3, 10), [11, 13)))	SimpleArgument(create a warm, comfortable office,List([14, 47)))	He set out to create a warm, comfortable office where orthodontic treatment is beyond expectations.
0.9327330412371158		SimpleArgument(orthodontic treatment,List([54, 75)))	Relation(is beyond expectations,List([76, 78), [79, 98)))	SpatialArgument(a warm, comfortable office,List([21, 47)))	He set out to create a warm, comfortable office where orthodontic treatment is beyond expectations.
0.9030401971054747		SimpleArgument(orthodontic treatment,List([54, 75)))	Relation(is beyond,List([76, 78), [79, 85)))	SimpleArgument(expectations,List([86, 98)))	He set out to create a warm, comfortable office where orthodontic treatment is beyond expectations.
0.886695286966665		SimpleArgument(Dr. Finelli,List([0, 11)))	Relation(is a specialist in,List([12, 30)))	SimpleArgument(dentofacial orthopedics,List([31, 54)))	Dr. Finelli is a specialist in orthodontics and dentofacial orthopedics.
0.9436740204769645		SimpleArgument(Dr. Finelli,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a specialist in dentofacial orthopedics,List([15, 54)))	Dr. Finelli is a specialist in orthodontics and dentofacial orthopedics.
0.886695286966665		SimpleArgument(Dr. Finelli,List([0, 11)))	Relation(is a specialist in,List([12, 30)))	SimpleArgument(orthodontics,List([31, 43)))	Dr. Finelli is a specialist in orthodontics and dentofacial orthopedics.
0.9436740204769645		SimpleArgument(Dr. Finelli,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a specialist in orthodontics,List([15, 43)))	Dr. Finelli is a specialist in orthodontics and dentofacial orthopedics.
0.15966102676195504	Context(he went on,List([70, 85)))	SimpleArgument(he,List([70, 72)))	Relation(went on to complete,List([78, 85), [107, 118)))	SimpleArgument(his training in orthodontics,List([119, 147)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.25239008486941794		SimpleArgument(he,List([70, 72)))	Relation(went on,List([78, 85)))	TemporalArgument(then,List([73, 77)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.5283282283527726		SimpleArgument(he,List([70, 72)))	Relation(went on After,List([0, 82), [83, 85)))	TemporalArgument(graduating from Tufts University with a degree in engineering,List([6, 67)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.15966102676195504		SimpleArgument(he,List([70, 72)))	Relation(went on to,List([78, 85), [107, 109)))	SimpleArgument(complete his training in orthodontics,List([110, 147)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
