0.9314904193639496		SimpleArgument(a general family practice,List([7, 32)))	Relation(located in,List([33, 40), [41, 43)))	SpatialArgument(Peoria,List([44, 50)))	We are a general family practice located in Peoria, AZ.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a general family practice located in Peoria, AZ,List([7, 54)))	We are a general family practice located in Peoria, AZ.
0.738742656023936		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(provide the finest quality dentistry with integrity in a comfortable environment,List([18, 98)))	Our mission is to provide the finest quality dentistry with honesty and integrity in a safe and comfortable environment.
0.738742656023936		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(provide the finest quality dentistry with integrity in a safe environment,List([18, 91)))	Our mission is to provide the finest quality dentistry with honesty and integrity in a safe and comfortable environment.
0.738742656023936		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(provide the finest quality dentistry with honesty in a comfortable environment,List([18, 96)))	Our mission is to provide the finest quality dentistry with honesty and integrity in a safe and comfortable environment.
0.738742656023936		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(provide the finest quality dentistry with honesty in a safe environment,List([18, 89)))	Our mission is to provide the finest quality dentistry with honesty and integrity in a safe and comfortable environment.
0.2560951955542683	Context(We do,List([0, 5)))	SimpleArgument(We,List([0, 2)))	Relation(do so by treating,List([3, 5), [6, 11)))	SimpleArgument(our patients like family,List([21, 45)))	We strive to build life long relationships with our patients, and do so by treating our patients like family.
0.22876658274353207		SimpleArgument(We,List([0, 2)))	Relation(do,List([3, 5)))	SimpleArgument(so,List([6, 8)))	We strive to build life long relationships with our patients, and do so by treating our patients like family.
0.263652756827333	Context(We strive,List([0, 9)))	SimpleArgument(We,List([0, 2)))	Relation(strive to build,List([3, 9), [10, 18)))	SimpleArgument(life long relationships with our patients,List([19, 60)))	We strive to build life long relationships with our patients, and do so by treating our patients like family.
0.263652756827333		SimpleArgument(We,List([0, 2)))	Relation(strive to,List([3, 9), [10, 12)))	SimpleArgument(build life long relationships with our patients,List([13, 60)))	We strive to build life long relationships with our patients, and do so by treating our patients like family.
0.6814400456876439		SimpleArgument(Our scope of practice,List([0, 21)))	Relation(ranges from,List([22, 28), [29, 33)))	SimpleArgument(cosmetic dentistry,List([34, 52)))	Our scope of practice ranges from cosmetic dentistry including bonding, veneers and crown/bridge procedures, to root canal treatments and extractions.
0.6814400456876439		SimpleArgument(Our scope of practice,List([0, 21)))	Relation(ranges from,List([22, 28), [29, 33)))	SimpleArgument(cosmetic dentistry including veneers,List([34, 70)))	Our scope of practice ranges from cosmetic dentistry including bonding, veneers and crown/bridge procedures, to root canal treatments and extractions.
0.6814400456876439		SimpleArgument(Our scope of practice,List([0, 21)))	Relation(ranges from,List([22, 28), [29, 33)))	SimpleArgument(cosmetic dentistry including bonding,List([34, 70)))	Our scope of practice ranges from cosmetic dentistry including bonding, veneers and crown/bridge procedures, to root canal treatments and extractions.
0.3542336260975056		SimpleArgument(you,List([140, 143)))	Relation('ve desired,List([144, 147), [155, 162)))	TemporalArgument(always,List([148, 154)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.20745184114511656	Context(you to have,List([101, 112)))	SimpleArgument(a bright,List([113, 121)))	Relation(even smile,List([124, 134)))		General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.28955269407458506		SimpleArgument(you,List([101, 104)))	Relation(to have,List([105, 112)))	SimpleArgument(a bright , even smile that you 've always desired ! Established in 2000,List([113, 184)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.51318521882248		SimpleArgument(our modern techniques,List([50, 71)))	Relation(make,List([72, 76)))	SimpleArgument(it easier than ever,List([77, 96)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.3229663126973359		SimpleArgument(you,List([140, 143)))	Relation(Established in,List([165, 176), [177, 179)))	TemporalArgument(2000,List([180, 184)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.9302479618414705		SimpleArgument(General & Cosmetic Dentistry,List([0, 28)))	Relation(can give you,List([29, 37), [38, 41)))	SimpleArgument(a smile our modern techniques make it easier than ever,List([42, 96)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.28448469833129175		SimpleArgument(you,List([50, 53)))	Relation(to show off,List([64, 75)))		General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.4281416527486606		SimpleArgument(you,List([50, 53)))	Relation('re,List([54, 57)))	SimpleArgument(happy to show off,List([58, 75)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.8926589187155131		SimpleArgument(General & Cosmetic Dentistry,List([0, 28)))	Relation(can give you,List([29, 37), [38, 41)))	SimpleArgument(a smile you 're happy to show off,List([42, 75)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.8926589187155131		SimpleArgument(General & Cosmetic Dentistry,List([0, 28)))	Relation(can give,List([29, 37)))	SimpleArgument(you,List([38, 41)))	General & Cosmetic Dentistry can give you a smile you're happy to show off and our modern techniques make it easier than ever for you to have a bright, even smile that you've always desired! Established in 2000.
0.9161623033303347		SimpleArgument(Desert Summit Dentistry,List([0, 23)))	Relation(was opened by,List([24, 34), [53, 55)))	SimpleArgument(owners Cindy Gabriel RDH,List([56, 80)))	Desert Summit Dentistry was opened in August of 2000 by owners Dr. Doug Gabriel DDS and Cindy Gabriel RDH.
0.9008079614035324		SimpleArgument(Desert Summit Dentistry,List([0, 23)))	Relation(was opened by,List([24, 34), [53, 55)))	SimpleArgument(owners,List([56, 62)))	Desert Summit Dentistry was opened in August of 2000 by owners Dr. Doug Gabriel DDS and Cindy Gabriel RDH.
0.9436221120476838		SimpleArgument(Desert Summit Dentistry,List([0, 23)))	Relation(was opened in,List([24, 34), [35, 37)))	TemporalArgument(August of 2000,List([38, 52)))	Desert Summit Dentistry was opened in August of 2000 by owners Dr. Doug Gabriel DDS and Cindy Gabriel RDH.
0.16613764756506935	Context(those wanted,List([76, 92)))	SimpleArgument(those,List([76, 81)))	Relation(wanted to improve,List([86, 92), [93, 103)))	SimpleArgument(smile,List([104, 109)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.09759267774116495	Context(those wanted,List([76, 92)))	SimpleArgument(those,List([76, 81)))	Relation(wanted to improve,List([86, 92), [93, 103)))	SimpleArgument(their oral health,List([104, 121)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.3104209566651126	Context(they worked hard,List([17, 33)))	SimpleArgument(they,List([17, 21)))	Relation(worked hard to create,List([22, 33), [34, 43)))	SimpleArgument(an environment that was warm to those,List([44, 81)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.16613764756506935	Context(those wanted,List([79, 95)))	SimpleArgument(those,List([79, 84)))	Relation(wanted to improve,List([89, 95), [96, 106)))	SimpleArgument(smile,List([107, 112)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.16613764756506935		SimpleArgument(those,List([79, 84)))	Relation(wanted to,List([89, 95), [96, 98)))	SimpleArgument(improve smile,List([99, 112)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.09759267774116495	Context(those wanted,List([79, 95)))	SimpleArgument(those,List([79, 84)))	Relation(wanted to improve,List([89, 95), [96, 106)))	SimpleArgument(their oral health,List([107, 124)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.09759267774116495		SimpleArgument(those,List([79, 84)))	Relation(wanted to,List([89, 95), [96, 98)))	SimpleArgument(improve their oral health,List([99, 124)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.3104209566651126	Context(they worked hard,List([20, 36)))	SimpleArgument(they,List([20, 24)))	Relation(worked hard to create,List([25, 36), [37, 46)))	SimpleArgument(an environment that was warm to those,List([47, 84)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.5735609082261839		SimpleArgument(an environment,List([47, 61)))	Relation(was,List([67, 70)))	SimpleArgument(warm to those,List([71, 84)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.3104209566651126	Context(they worked hard,List([17, 33)))	SimpleArgument(they,List([17, 21)))	Relation(worked hard to create,List([22, 33), [34, 43)))	SimpleArgument(an environment that was welcoming,List([44, 77)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.3104209566651126	Context(they worked hard,List([20, 36)))	SimpleArgument(they,List([20, 24)))	Relation(worked hard to create,List([25, 36), [37, 46)))	SimpleArgument(an environment that was welcoming,List([47, 80)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.5520449397565844		SimpleArgument(they,List([20, 24)))	Relation(worked hard to,List([25, 36), [37, 39)))	SimpleArgument(create an environment,List([40, 61)))	As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.6981802672629641		SimpleArgument(an environment,List([47, 61)))	Relation(was welcoming,List([67, 80)))		As a husband and wife team, they worked hard to create an environment that was welcoming and warm to those who wanted to improve their oral health and smile.
0.30398068276492246	Context(they have created,List([23, 40)))	SimpleArgument(they,List([23, 27)))	Relation(have created trusting,List([28, 40), [52, 60)))	SimpleArgument(relationships with their patients,List([61, 94)))	Over the past 14 years they have created strong and trusting relationships with their patients, many of which that have remained patients the entire 14 years!
