0.9342893671889873		SimpleArgument(PlayStation Blog (also stylized as PlayStation.Blog,List([0, 51)))	Relation(is,List([53, 55)))	SimpleArgument(a PlayStation focused blog,List([56, 82)))	PlayStation Blog (also stylized as PlayStation.Blog) is a PlayStation focused blog.
0.9277724913494431		SimpleArgument(PlayStation Blog,List([0, 16)))	Relation(stylized as,List([23, 31), [32, 34)))	SimpleArgument(PlayStation.Blog,List([35, 51)))	PlayStation Blog (also stylized as PlayStation.Blog) is a PlayStation focused blog.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was launched on,List([3, 15), [16, 18)))	TemporalArgument(June 11 , 2007,List([19, 33)))	It is a part of the PlayStation Network and was launched on June 11, 2007.
0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a part of the PlayStation Network,List([6, 39)))	It is a part of the PlayStation Network and was launched on June 11, 2007.
0.5007883492811023		SimpleArgument(high,List([80, 84)))	Relation(ranking,List([87, 94)))	SimpleArgument(Sony Computer Entertainment executives such as Chief Executive Officer of Sony Computer Entertainment,List([95, 196)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.960026968542485		SimpleArgument(behind - the - scene,List([0, 20)))	Relation(takes with,List([21, 26), [27, 31)))	SimpleArgument(major video gaming companies such as posts from high - ranking Sony Computer Entertainment executives such as Chief Executive Officer of Sony Computer Entertainment,List([32, 196)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.5007883492811023		SimpleArgument(high,List([80, 84)))	Relation(ranking,List([87, 94)))	SimpleArgument(Sony Computer Entertainment executives such as President of Sony Computer Entertainment,List([95, 182)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.960026968542485		SimpleArgument(behind - the - scene,List([0, 20)))	Relation(takes with,List([21, 26), [27, 31)))	SimpleArgument(major video gaming companies such as posts from high - ranking Sony Computer Entertainment executives such as President of Sony Computer Entertainment,List([32, 182)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.38089450366724514		SimpleArgument(Entertainment,List([109, 122)))	Relation([is] Computer [of],List([100, 108)))	SimpleArgument(Sony,List([95, 99)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.5007883492811023		SimpleArgument(high,List([80, 84)))	Relation(ranking,List([87, 94)))	SimpleArgument(Sony Computer Entertainment executives such as Jack Tretton of Sony Computer Entertainment,List([95, 185)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.960026968542485		SimpleArgument(behind - the - scene,List([0, 20)))	Relation(takes with,List([21, 26), [27, 31)))	SimpleArgument(major video gaming companies such as posts from high - ranking Sony Computer Entertainment executives such as Jack Tretton of Sony Computer Entertainment,List([32, 185)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
