0.7372865414614487		SimpleArgument(a major record label,List([18, 38)))	Relation(operates,List([44, 52)))		Island Records is a major record label that operates as a division of Universal Music Group (UMG).
0.9219343738821711		SimpleArgument(Island Records,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(a major record label that operates as a division of Universal Music Group (UMG),List([18, 97)))	Island Records is a major record label that operates as a division of Universal Music Group (UMG).
0.3929209860966329		SimpleArgument(It,List([0, 2)))	Relation(was founded in,List([3, 14), [30, 32)))	SpatialArgument(Jamaica,List([33, 40)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was founded by,List([3, 14), [15, 17)))	SimpleArgument(Leslie Kong,List([18, 29)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was founded by,List([3, 14), [15, 17)))	SimpleArgument(Graeme Goodall,List([18, 32)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was founded by,List([3, 14), [15, 17)))	SimpleArgument(Chris Blackwell,List([18, 33)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(has been based since,List([3, 17), [40, 45)))	TemporalArgument(1962,List([46, 50)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(has been based in,List([3, 17), [18, 20)))	SpatialArgument(the United Kingdom,List([21, 39)))	It was founded by Chris Blackwell, Graeme Goodall, and Leslie Kong in Jamaica and has been based in the United Kingdom since 1962.
0.7251886467849957		SimpleArgument(Blackwell,List([0, 9)))	Relation(sold the label in,List([10, 14), [15, 24), [37, 39)))	TemporalArgument(1989,List([40, 44)))	Blackwell sold the label to PolyGram in 1989.
0.9324144673478683		SimpleArgument(Blackwell,List([0, 9)))	Relation(sold the label to,List([10, 14), [15, 24), [25, 27)))	SimpleArgument(PolyGram,List([28, 36)))	Blackwell sold the label to PolyGram in 1989.
0.9383119524695255		SimpleArgument(Blackwell,List([0, 9)))	Relation(sold,List([10, 14)))	SimpleArgument(the label,List([15, 24)))	Blackwell sold the label to PolyGram in 1989.
0.928319312100383		SimpleArgument(another recent PolyGram acquisition,List([0, 35)))	Relation(were at,List([44, 48), [49, 51)))	SimpleArgument(the time,List([52, 60)))	Both Island, and another recent PolyGram acquisition, A&M, were at the time the largest independent record labels in history, with Island in particular having exerted a major influence on the progressive UK music scene in the early 1970s.
