0.8847999636040884		SimpleArgument(Belgrade,List([25, 33)))	Relation([is] Center [of],List([18, 24)))	SimpleArgument(Technical Testing,List([0, 17)))	Technical Testing Center Belgrade (TTC, Serbian: TOC "Tehnički opitni centar" Beograd) is a major Serbian Acceptance testing facility, headquartered in Belgrade, Serbia.
0.9497646913932042		SimpleArgument(a major Serbian Acceptance testing facility,List([90, 133)))	Relation(headquartered in,List([135, 148), [149, 151)))	SpatialArgument(Belgrade,List([152, 160)))	Technical Testing Center Belgrade (TTC, Serbian: TOC "Tehnički opitni centar" Beograd) is a major Serbian Acceptance testing facility, headquartered in Belgrade, Serbia.
0.9650686322731569		SimpleArgument(TOC "Tehnički opitni centar" Beograd,List([49, 85)))	Relation(is,List([87, 89)))	SimpleArgument(a major Serbian Acceptance testing facility,List([90, 133)))	Technical Testing Center Belgrade (TTC, Serbian: TOC "Tehnički opitni centar" Beograd) is a major Serbian Acceptance testing facility, headquartered in Belgrade, Serbia.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was founded in,List([3, 14), [72, 74)))	TemporalArgument(1973,List([75, 79)))	It was founded by Federal Secretariat of People's Defense of Yugoslavia in 1973.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was founded by,List([3, 14), [15, 17)))	SimpleArgument(Federal Secretariat of People's Defense of Yugoslavia,List([18, 71)))	It was founded by Federal Secretariat of People's Defense of Yugoslavia in 1973.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army civilian customers,List([11, 290)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Yugoimport SDPR,List([11, 287)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Military Technical Institute Belgrade,List([11, 309)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army flotilla,List([11, 280)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army River,List([11, 277)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9757675405256955		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds,List([111, 131)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
